vid,appear
v2604,490
v2605,1233
v2606,35
v2607,1656
v2608,97
v2609,2149
v2611,1551
v2612,787
v2613,571
v2616,282
v2617,645
v2618,16
v2619,10
v2621,1044
v2622,8031
v2623,349
v2624,135
v2625,11
v2626,4446
v2627,41
v2629,3
v2630,855
v2631,51
v2632,5474
v2633,1342
v2634,115
v2635,1298
v2636,145
v2637,127
v2638,79
v2639,76
v2640,119
v2641,91
v2642,76
v2643,189
v2644,1946
v2645,97
v2646,3
v2648,49
v2649,36
v2650,47
v2651,292
v2652,2237
v2653,238
v2654,1443
v2655,4194
v2656,423
v2657,4
v2658,11
v2659,551
v2660,190
v2661,489
v2662,21
v2667,520
v2668,2089
v2669,2622
v2670,292
v2671,1178
v2672,75
v2673,45
v2674,156
v2675,2606
v2676,110
v2677,592
v2678,566
v2680,104
v2681,597
v2682,150
v2683,14
v2684,1566
v2685,209
v2686,127
v2687,290
v2688,92
v2691,747
v2693,316
v2694,97
v2696,212
v2697,3529
v2698,1046
v2699,281
v2700,146
v2701,1092
v2702,388
v2703,1
v2704,202
v2706,134
v2708,669
v2709,856
v2710,3252
v2711,1864
v2712,496
v2713,2951
v2714,979
v2715,3321
v2716,894
v2717,3240
v2718,263
v2719,5
v2721,456
v2722,431
v2724,263
v2725,56
v2726,143
v2730,399
v2731,401
v2733,47
v2735,618
v2736,4351
v2737,2023
v2738,1
v2739,408
v2740,2013
v2741,108
v2742,63
v2743,514
v2744,56
v2745,513
v2747,1019
v2748,4987
v2749,1678
v2752,73
v2753,2561
v2754,23
v2755,19
v2756,143
v2757,106
v2758,4100
v2759,256
v2760,95
v2761,269
v2762,7985
v2763,78
v2766,82
v2767,554
v2768,2381
v2772,26
v2773,674
v2775,79
v2776,23
v2777,19
v2778,423
v2784,1176
v2786,58
v2789,625
v2790,1730
v2791,111
v2796,204
v2799,68
v2800,7
v2801,1
v2803,17
v2806,1236
v2808,291
v2809,104
v2811,107
v2813,514
v2814,727
v2819,646
v2824,259
v2828,528
v2829,101
v2831,265
v2832,174
v2833,322
v2835,2688
v2836,4167
v2837,181
v2839,2
v2840,1560
v2841,423
v2842,179
v2844,264
v2845,2666
v2846,20
v2847,1371
v2849,419
v2850,27
v2851,1154
v2852,222
v2853,988
v2854,64
v2855,811
v2857,3693
v2858,382
v2859,162
v2860,45
v2861,2808
v2862,353
v2864,1323
v2865,249
v2866,931
v2867,400
v2868,1840
v2869,2167
v2870,99
v2871,1888
v2873,163
v2874,154
v2876,829
v2878,711
v2879,2371
v2880,1735
v2881,366
v2884,1193
v2885,1370
v2886,1471
v2888,1028
v2889,55
v2890,704
v2891,920
v2892,1376
v2893,3
